config_name,lwe_dimension,glwe_dimension,polynomial_size,lwe_noise_tag,lwe_gaussian_std,lwe_tuniform_bound_log2,glwe_noise_tag,glwe_gaussian_std,glwe_tuniform_bound_log2,pbs_base_log,pbs_level,ks_base_log,ks_level,message_modulus,carry_modulus,max_noise_level,log2_p_fail,modulus_power_of_2_exponent,encryption_key_choice,ms_tag,ms_modulus_switch_zeros_count,ms_bound,ms_r_sigma_factor,ms_input_variance
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_5_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,1118,1,32768,0,2.64657e-08,0,0,2.1684e-19,0,11,3,2,12,8,32,36,-64,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_5_KS_PBS_GAUSSIAN_2M64,1118,1,32768,0,2.64657e-08,0,0,2.1684e-19,0,11,3,2,12,8,32,36,-64,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_4_CARRY_0_KS_PBS_GAUSSIAN_2M64,833,1,2048,0,3.61584e-06,0,0,2.84527e-15,0,23,1,3,5,16,1,1,-64.454,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_4_CARRY_1_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,954,1,4096,0,4.48278e-07,0,0,2.1684e-19,0,22,1,4,4,16,2,2,-64.077,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_4_CARRY_1_KS_PBS_GAUSSIAN_2M64,954,1,4096,0,4.48278e-07,0,0,2.1684e-19,0,22,1,4,4,16,2,2,-64.077,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_4_CARRY_2_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,977,1,8192,0,3.01444e-07,0,0,2.1684e-19,0,15,2,3,6,16,4,4,-64.182,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_4_CARRY_2_KS_PBS_GAUSSIAN_2M64,977,1,8192,0,3.01444e-07,0,0,2.1684e-19,0,15,2,3,6,16,4,4,-64.182,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_4_CARRY_3_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,1053,1,16384,0,8.12331e-08,0,0,2.1684e-19,0,15,2,3,7,16,8,8,-64.099,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_4_CARRY_3_KS_PBS_GAUSSIAN_2M64,1053,1,16384,0,8.12331e-08,0,0,2.1684e-19,0,15,2,3,7,16,8,8,-64.099,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_4_CARRY_4_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,1112,1,32768,0,2.93522e-08,0,0,2.1684e-19,0,11,3,2,11,16,16,17,-64.033,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_4_CARRY_4_COMPACT_PK_PBS_KS_GAUSSIAN_2M64,2048,1,65536,0,2.84527e-15,0,0,2.1684e-19,0,11,3,16,2,16,16,17,-138.594,64,Small,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_4_CARRY_4_KS_PBS_GAUSSIAN_2M64,1112,1,32768,0,2.93522e-08,0,0,2.1684e-19,0,11,3,2,11,16,16,17,-64.033,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_4_CARRY_4_PBS_KS_GAUSSIAN_2M64,1254,1,65536,0,2.53294e-09,0,0,2.1684e-19,0,11,3,3,8,16,16,17,-64.507,64,Small,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_5_CARRY_0_KS_PBS_GAUSSIAN_2M64,946,1,4096,0,5.14626e-07,0,0,2.1684e-19,0,22,1,4,4,32,1,1,-64.068,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_5_CARRY_1_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,977,1,8192,0,3.01444e-07,0,0,2.1684e-19,0,15,2,3,6,32,2,2,-64.185,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_5_CARRY_1_KS_PBS_GAUSSIAN_2M64,977,1,8192,0,3.01444e-07,0,0,2.1684e-19,0,15,2,3,6,32,2,2,-64.185,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_5_CARRY_2_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,1052,1,16384,0,8.26468e-08,0,0,2.1684e-19,0,15,2,3,7,32,4,4,-64.137,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_5_CARRY_2_KS_PBS_GAUSSIAN_2M64,1052,1,16384,0,8.26468e-08,0,0,2.1684e-19,0,15,2,3,7,32,4,4,-64.137,64,Big,0,0,0,0,0
